區域,機關/單位,服務時間及員額,服務內容,聯絡方式與窗口,備註,新增日期
南區,大恩社區發展協會,1.關懷據點值班:週一~週五上午 9:00-12:00;下午2:00-5:00 2.兒童課輔班:週一~週五 下午4:30-6:30 3. 兒童暑托班:7-8月週一~週五上 午8:00-下午6:00,1.關懷據點-量血壓.健康諮詢.電 訪或陪同志工居家訪視 2.兒童課輔班-協助學童課業指導 3.兒童暑假收托班-7.8月協助學童 課業指導 4.協助社區辦理活動,聯絡人:施國熙 職稱:理事長/里長 電話:0913839339 聯絡人:郭美惠 職稱:總幹事 電話:2909200,,2013/7/10
南區,戶政事務所,"上午9:00-12:00;下午 14:00-17:00,每時段1名計10名",服務台取號、引導、奉茶、代填書 表及行政庶務協助,"蔡美珍,電話:(06)2913702#18",102年暑假,2013/7/10
南區,社團法人世界和平會,電洽,協助整理月訊與文書資料處理,"黃士玲,電話:2150575",114年2月確認即日起暫不提 供,2013/7/10
南區,社團法人臺南市南區國宅社區發展協 會,"上午8:30~12:00;下午2: 00~5:00(任選一時段),召募對 象:具愛心、耐心、樂於助人。服 務地點:國宅社區活動中心(臺南 市南區金華路二段33巷81號) 網站公告: http://sixstar.moc.gov. tw/blog→點選「社區新聞-麻吉青 少年志工召募」","訪視組:由社區資深志工陪同訪視 社區長輩量血壓,陪伴聊天。 行政組:協助社區文書資料建檔, 社區保健站量血壓及紀錄。 活動組:協助社區辦理署期兒童夏 令營及各項節慶活動支援。","李金雀,電話:(06)2631259","1.志工職缺一律經面試通過,正 式錄用 2.原「南區國宅社區發展協會」 (103年1月更名) 114年2月確認即日起暫不提 供",2013/7/10
南區,南區區公所,"每年7、8月,10人",1.市政宣導。 2.洽公民眾引導。 3.資料登打。,"鄭玲淑,電話:2910126#226",,2013/7/10
後壁區,戶政事務所,"102年暑假,每周3人",協助引導民眾辦理戶籍登記 及文件資料、環境整理等,"林茂仁,電話:(06)6872859",設籍本區優先,2013/7/10
後壁區,後壁區圖書館,"週六及週日08:00~17:00,每次3小 時",協助圖書分類上架及館內清潔,"沈小姐,電話:(06)6871314",,2013/7/10
後壁區,蓮心園基金會/附設啟智中心,"週六早上9-11點,2員",協助服務使用者生活自理及陪同服 務使用者進行休閒活動,(06)6882711#606、223、502,"請致電告知服務日期 ※建議由學校提出申請,以團體 方式進行",2013/7/10
後壁區,衛生所,"星期1~5/6名,周六(行動 醫院社區服務/6名",1. 協助資料文書處理 2.社區健檢與健康服務,"劉美吟護理長,電話: (06)6872624",,2013/7/10
後壁區,衛生福利部臺南教養院,電洽,協助院生休閒活動、社區清掃、活 動支援、行政業務支援、環境清潔 與園藝維護,"鄭屏秀社工員(社工科),電話: (06)6622097","※建議由學校提出申請,以團體 方式進行",2013/7/10
柳營區,戶政事務所,102年暑假期間每日下午2-5時。員 額:每日1員。,"1.  協助引導民眾使用便民設施。 2.簡易諮詢解答申請要件。 3.協助殘障或老弱婦孺辦理各項戶 籍登記。 4.協助民眾照顧幼兒及維持秩序, 並給民眾必要之協助。 5.協助提供茶水、書報、雜誌及其 他服務事項","吳錦松課員,電話: (06)6220744",請留意本所網站刊載招 募校外學習服務報名訊 息,2013/7/10
柳營區,柳營區圖書館,"除每周一及例假日國定假日休館外 每日,上午8:30~11:30;下午 2:00~5:00",1.閱讀區環境整理 2.圖書資料加工 3.圖書資料上架整假 4.書籍、文宣品整理及活動支援 5.其他事項,"王鈺惠,電話:6224023",,2013/7/10
柳營區,衛生所,"星期1~5/3名,行動醫院 /3名",協助衛生所業務推動,"許曉萍護理師,電話: (06)6220464",,2013/7/10
將軍區,將軍區圖書館,寒暑假期間每週二-每週日開館時 間/暑假10名、寒假5名,圖書整理暨推廣業務,"江美鈴,電話:(06)7942104、 葉美蘭,電話:(06)7944851、 吳泰諒,電話:(06)7944851",寒暑假招募學生志 工,2013/7/10
將軍區,農會,電洽,協助田園體驗營、產業文化活動導 覽解說、辦理遊客闖關遊戲、社區 發展及社區公共服務,"推廣股:劉露華,電話: (06)7942201#254",,2013/7/10
將軍區,衛生所,假日(3人次),量測血壓 衛生保健,"黃素玲,電話:(06)7942007",,2013/7/10
麻豆區,戶政事務所,1.暑假期間之上班日。 2.服務時段:0800-1200時及1330- 1730時。3.每個時段以2人為限。,文件資料整理、服務臺引 導民眾辦理戶籍案件及協 助文書資料整理工作,"陳淑珍,電話:(06)572210#18",依申請先後順序額滿 為止,2013/7/10
麻豆區,衛生所,星期1~5/約30人,1.無菸店家查核。 2.協助健康促進活動辦理。(行動 醫院全民健檢),"林珍琴護理師,電話: (06)5722215","1.屬臨時性志工,未提供相關保 險。 2.須檢附家長同意書(可至衛生 所網頁下載)。 3.須大方、可國、台語溝通。",2013/7/10
善化區,戶政事務所,"暑假期間(週一至週五 PM14:00~17:00,所需員額2人)",1.引導民眾至受理窗口洽辦。 2.協助洽公民眾辦理各項戶籍登記 案件 3.整理戶所環境清潔,"胡錦華,電話:(06)5817445",,2013/7/10
善化區,衛生所,星期1~5上班時間員額不限,醫療門診、預防保健相關業務,"護理長林麗珠,電話: (06)5837035",,2013/7/10
新化區,財團法人臺灣省臺南市臺灣首廟天壇 附設臺南市私立天壇老人養護中心,星期六日、國定假日、 寒暑假,協助陪伴老人、協助活動帶領、協 助文書行政工作、協助環境清潔,地址:臺南市新化區知義里新和 庄22號 電話:06-5800111 聯絡人:甘士照主任,"※建議由學校提出申請,以團體 方式進行",2013/7/10
新化區,新化區圖書館,"二~五晚間5:00~9:00、六日全天, 一次兩小時",排書、整理環境、臨時交辦事項。,"唐月玲,電話: (06)5905009#315",,2013/7/10
新化區,楊逵文學紀念館,每周六、日上午9時至12時、14時 至17時/12人,服務台值班、環境整理、文書整理 等,"陳玥澐、陳淑鈴小姐,電話: (06)5908865",114年2月確認即日起暫不提 供予國中生,2013/7/10
新市區,戶政事務所,"102年7月1日至8月30日 ,預計招募18人",引導及協助民眾辦理戶籍案件、簡 易文書整理、環境清潔美化等事項,"黃津珍,電話:(06)5993582",預計於6月下旬於本所 網站公告,2013/7/10
新市區,財團法人天主教臺南市私立蘆葦啟智 中心,週一至週五 Am 09:00-12:30 Pm 13:30-16:30 每一時段2-4人 (詳細內容請電洽),1.早療/成人班級協助 2.社區適應、融合人力支援 3.社團課程人力支援,聯絡人:胡晏菽 社工督導 Tel: 06-5890260 分機 221 Fax: 06-5999249 E-mail:luway32@gmail.com 網址:luwei.org.tw 地址:臺南市新市區中正路169 號,"※建議由學校提出申請,以團體 方式進行",2013/7/10
新市區,新市區圖書館,電洽(週一休館),協助圖書整理、環境整理,"吉長鳳,電話:(06)5997340#23",,2013/7/10
新市區,衛生所,"星期1~5/5名,行動醫院/ 20名",協助健康檢查資料整理、環境整 理、民眾排隊秩序引導、發放宣導 資料。,"林孟蓓護理師,電話: (06)5992504",視實際需求而定,2013/7/10
新營區,戶政事務所,(暑假)周一至周五下午2時至5時 (15人),服務臺引導民眾及協助民眾辦理案 件,"許玉琴,電話:6323470#132",,2013/7/10
新營區,文化局 民治文化中心管理科,寒假200名;暑假200名,表演組、推廣組、導覽組、圖書 組、展覽組等,"湯瑞彬,電話:(06)6330347、 (06)6335275、0937301029",,2013/7/10
新營區,家扶基金會 北台南家扶中心,電洽,圖書、發票、義賣品整理 文書行政、花草園藝維護,"陳燕,電話:(06)6324560",112/11/29即日起停止服務學習 業務,2013/7/10
新營區,新營區圖書館,08:00~17:00,圖書流通、書架整理、圖書整理、 影印服務、讀者諮詢。,"蘇志偉,電話:6525933",寒暑假及例假日,2013/7/10
新營區,衛生局-心理與精神科,星期1~5(寒暑假)/依業務需求酌酙,協助文書資料處理及整理,"(東興辦公室):張乃文,電話: (06)6357716#179",,2013/7/10
新營區,衛生局-心理與精神科-毒品危害防制 中心,星期1~5(寒暑假)/依業務需求酌酙,文書電腦繕打、公文遞送、協助表 格之彙整及資料整理、隨機業務之 協助,"(東興辦公室):姜美妃,電話: (06)6357716#168",,2013/7/10
新營區,衛生局-國民健康科,星期1~5(寒暑假)/依業務需求酌酙,菸害及預防保健資料建檔或整理,"(東興辦公室):李欣妤,電話: (06)6357716#268",,2013/7/10
新營區,衛生局-會計室,星期1~5(寒暑假)/依業務需求酌酙,"傳送公文,協助整理憑證","(東興辦公室):林美君,電話: (06)6357716#207",,2013/7/10
新營區,衛生局-綜合企劃科,星期1~5(寒暑假)/依業務需求酌酙,文書資料的整理及繕打,"(東興辦公室)-張華倖,電話: (06)2679751#393",,2013/7/10
新營區,衛生局-醫事科,星期1~5(寒暑假)/依業務需求酌酙,文書資料的整理及繕打,(東興辦公室):吳宜蓁06- 2679751#114,,2013/7/10
新營區,衛生所,星期2下午2點-4點/1名,預防保健,"李護理長,電話:(06)6355696",,2013/7/10
楠西區,區公所,"8:00-17:00 ,40人",為民服務、環境清潔,"蔡名惠,電話:(06)5751615# 24",,2013/7/10
楠西區,衛生所,4.21/5名;4.27/3名,行動醫院發報告,"朱秋瑾,電話:(06)5751006",,2013/7/10
學甲區,衛生所,星期3 9:00-11:00/2名,預防注射發展篩檢,"護理長莊翎玉,電話: (06)7833359",,2013/7/10
龍崎區,戶政事務所,"上午9點至12點,5人",茶水服務及表單填寫,"田家玉,電話:(06)5941182",,2013/7/10
龍崎區,衛生所,03.30/14名,協助行動醫院關卡服務,"張碧蓮,電話:(06)5941397",,2013/7/10
龍崎區,龍崎區圖書館,"08:00~17:00(整日亦可,每日最少 需3小時以上)/不限名額",書庫整理、環境整潔、書目加工及 活動帶領,"馮小姐,電話:(06)5941653",,2013/7/10
歸仁區,文化局/永華文化中 心管理科(歸仁文化 中心),寒暑假時間辦理/30名,美術館看館服務及環境維護、協助 音樂會活動,"陳文彥或謝美玲,電話: (06)3306505#116或125",,2013/7/10
歸仁區,衛生所,早上8:30-11:30;下午 2:00-5:00,門診時間引導、協助單張製作,"蔡佳娟,電話:(06)2393309",,2013/7/10
關廟區,戶政事務所,"(暑假)每周二至周五下午13時30分 至17時30分只提供1名在學志工。 (每人需連續服務16小時計4個半 天),總員額8人。(寒假)總員額3 人。",引導民眾辦理各項戶籍登記、茶水 服務、文書處理、整理環境,"陳美鳳,電話:(06)5952062#11",,2013/7/10
關廟區,區公所,"週一至週日上午8-12,下午1:30- 5:30/2名",圖書館書籍整理,"調解會秘書陳在怡,電話: 5960858",,2013/7/10
下營區,下營區農會,"課餘時間,詳請電洽",協助產業文化活動、文化館導覽解 說及庶務工作、協助農業體驗營工 作、協助社區老人服務及各項公共 服務活動,推廣股:林麗琴 電話:06-6898496 手機:0928327790,,2013/8/21
中西區,財團法人台南市私立永觀社會福利慈 善基金會,"星期六、日 上午9時~11時 下午3時~5時 (每週6名) 課餘時間,詳請電洽",老人關懷服務,林桂貞 吳瑾涵 0923-885002,114年3月確認市內電話無法 聯絡,2013/8/21
永康區,臺南市心智障礙關顧協會,"週一及週五9:00-17:00,每日各 3人(課餘時間,詳請電洽)",1.行政事務協助 2.教學、活動人力支援 3.環境清潔,聯絡人:阮曉蕙 電話:06-2334430,114年3月確認即日起暫不提 供,2013/8/21
全區,社團法人台灣濕地保護聯盟,"課餘時間,詳請電洽",(一)棲地志工: 1.協助棲地環境整理。 2.協助棲地維護工作。 (二)生態調查志工: 1.協助棲地生態觀察、監測並記 錄。 2.協助生態調查資料整理。 (三)環境教育暨推廣志工: 1.協助生態導覽解說。 2.協助辦理環境教育課程及研習。 3.協助生態保育活動推廣事宜。,鄭仲傑秘書 陳美秀秘書 06-2551880,114年3月確認市內電話無法 聯絡,2013/8/21
全區,社團法人臺南市社區童軍協會,"課餘時間,詳請電洽",1. 社區志願服務(教養院機構服 務、社區清掃、飢餓三十、捐血活 動服務、一日臨時孫子、發票募 捐) 2. 社區童軍營隊服務,胡智雄0939-533-952 cs1223.hu@msa.hinet.net,,2013/8/21
全區,崇禮文化教育基金會 (崇禮志工隊),"課餘時間,詳請電洽","活動辦理支援協助,如社區服務、 籌辦校園輔導(含偏遠校區)營 隊、淨山淨灘、及環境保護;國中 及國小心靈輔導、心靈成長營隊; 捐血、急難救助、服務老人院、育 幼院、舉辦各類型生命教育",余淑慧 fycdtnyts00h9@gmail.com 張瑞東0910-738-377,114年3月確認手機余小姐無 法聯絡,2013/8/21
安平區 全區,崇正基金會台南辦事處,1.服務時間以學生空閒時間為主。 2.可向本會申請從事服務學習以及 查詢服務時間。,1.環境清潔、關懷 2.兒童讀經教學、康輔,林娟娟 0927333238、06-2988662,,2013/8/21
東區,台南市曾培雅愛心義工協會,寒暑假週一至週五10:30-12:30,1.協助中餐助童計畫 2.協助衣物整理,聯絡人:兵新照 電話:06-2897419,1.每年寒暑假 2.105.1.21更新服務時間及內容,2013/8/21
南區,台灣彩虹愛家生命教育協會,"週六、日,寒暑假 每次4名",處理報到事項、場佈、電話聯絡、 行政雜事,吳小玉 06-2145512,114年3月確認即日起暫不提 供,2013/8/21
七股區,七股里辦公處,週六、日 05:30-07:30 (每日各5人),協助環境美化,聯絡人:黃進士 電話:0910074626,,2013/10/4
七股區,大寮里辦公處,每週六、日(寒暑假週一至週日) AM05:30-07:30 (每日各5人),協助里內環境清潔,聯絡人:汪聰慧、楊綉丹 電話:0931993236、0972923553,107年起里鄰調整,2013/10/4
七股區,玉成里辦公處,週六、日 06:00-08:00 (每日各5人),協助環境美化,聯絡人:陳國慶 電話:0932816010,,2013/10/4
永康區,三合里辦公處,星期六 08:00-12:00 20人,協助環境保護,聯絡人:朱水發 電話:3024366,,2013/10/4
永康區,大灣里辦公處,星期六 08:00-12:00 30人,協助環境保護,聯絡人:鄭文義 電話:2058357、0929-629-569,,2013/10/4
永康區,西勢里辦公處,星期日 06:00-8:00 6人,協助清潔環境,聯絡人:郭芳默 電話:2733857,105.11.9更改服務時間及聯絡方 式窗口,2013/10/4
安平區,華平里辦公處,每週六、日 07:00-09:00 每日各15人,1.協助維護華平公園 2.整理活動中心,聯絡人:李文江里長 電話:06-2999759,,2013/10/4
安平區,億載里辦公處,每週六、日(寒暑週一至週日) 08:00-10:00 每日各10人,1.協助維護光州公園 2.協助整理活動中心 3.協助環保志工清掃里轄,聯絡人:鄭聰維里長 電話:0935426402,,2013/10/4
善化區,六德里辦公處,一、每個月第二個星期六 二、時間: 1.「6月至10月間-上午5:30~7: 30」 2.「1月至5月間-上午6:00~8: 00」 3.「11月至12月間-上午6:00~ 8:00」 三、員額:每月每次20人,協助打掃、清理里轄內街道巷弄,聯絡人:里長  鄭宗枝 電話:0918770877,,2013/10/4
善化區,田寮里辦公處,一、每個月第二個星期六 二、時間:上午6:00~8:00 三、員額:每月每次10人,打掃、清理里轄內街道巷弄,聯絡人:里長  楊柳塘 電話:0912212448,,2013/10/4
